Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1256,,,,,,,,,,,,,,13,0.0000,-0.0025,-0.0530,2.1532,2.6769,0.3962,2.1532,2.6827,0.5191
1,Line,0.1266,,,,,,,,,,,,,,167,-0.0027,-0.0057,-0.0470,2.1469,2.6695,0.4101,2.1532,2.6827,0.5191
1,Line,0.0450,,,,,,,,,,,,,,152,0.0027,0.0032,0.0060,2.1532,2.6769,0.6397,2.1469,2.6695,0.6258
1,Line,0.1088,,,,,,,,,,,,,,13,0.0000,-0.0021,0.0460,2.1469,2.6695,0.6258,2.1469,2.6743,0.5191
1,Line,0.1160,,,,,,,,,,,,,,13,0.0000,0.0112,-0.0100,2.0785,2.6335,0.7789,2.0785,2.6075,0.8021
1,Line,0.1311,,,,,,,,,,,,,,26,-0.0027,0.0126,0.0050,2.0721,2.6366,0.8137,2.0785,2.6075,0.8021
1,Line,0.0453,,,,,,,,,,,,,,133,0.0025,0.0014,-0.0150,2.0785,2.5821,0.7789,2.0727,2.5789,0.8137
1,Line,0.1274,,,,,,,,,,,,,,14,0.0002,-0.0123,-0.0100,2.0727,2.5789,0.8137,2.0721,2.6075,0.8369
1,Line,0.0446,,,,,,,,,,,,,,104,0.0027,0.0000,-0.0150,2.0785,2.6075,0.8021,2.0721,2.6075,0.8369
1,Line,0.1286,,,,,,,,,,,,,,26,-0.0027,0.0119,-0.0150,2.0721,2.6610,0.7441,2.0785,2.6335,0.7789
1,Line,0.0467,,,,,,,,,,,,,,78,0.0027,-0.0014,-0.0150,2.0785,2.6335,0.7789,2.0721,2.6366,0.8137
1,Line,0.1297,,,,,,,,,,,,,,13,0.0000,-0.0126,0.0100,2.0721,2.6075,0.8369,2.0721,2.6366,0.8137
1,Line,0.1126,,,,,,,,,,,,,,13,0.0000,0.0094,-0.0260,2.0785,2.6552,0.7186,2.0785,2.6335,0.7789
1,Line,0.1268,,,,,,,,,,,,,,13,0.0000,-0.0071,-0.0450,2.0727,2.5381,0.6397,2.0727,2.5545,0.7441
1,Line,0.1127,,,,,,,,,,,,,,15,-0.0002,0.0094,0.0260,2.0785,2.5821,0.7789,2.0790,2.5604,0.7186
1,Line,0.1271,,,,,,,,,,,,,,52,-0.0027,0.0037,0.0510,2.0727,2.5545,0.7441,2.0790,2.5461,0.6258
1,Line,0.0467,,,,,,,,,,,,,,155,0.0027,0.0034,-0.0060,2.0790,2.5461,0.6258,2.0727,2.5381,0.6397
1,Line,0.1281,,,,,,,,,,,,,,32,-0.0027,0.0080,0.0410,2.0727,2.5789,0.8137,2.0790,2.5604,0.7186
1,Line,0.1138,,,,,,,,,,,,,,13,0.0000,0.0110,0.0100,2.0785,2.6075,0.8021,2.0785,2.5821,0.7789
1,Line,0.1286,,,,,,,,,,,,,,27,-0.0027,0.0110,0.0250,2.0721,2.6075,0.8369,2.0785,2.5821,0.7789
1,Line,0.0456,,,,,,,,,,,,,,146,0.0027,0.0025,-0.0110,2.0790,2.5604,0.7186,2.0727,2.5545,0.7441
1,Line,0.1274,,,,,,,,,,,,,,13,0.0000,-0.0105,-0.0300,2.0727,2.5545,0.7441,2.0727,2.5789,0.8137
1,Line,0.1274,,,,,,,,,,,,,,13,0.0000,-0.0105,0.0300,2.0721,2.6366,0.8137,2.0721,2.6610,0.7441
1,Line,0.1256,,,,,,,,,,,,,,13,0.0000,0.0025,0.0530,2.0721,2.6833,0.5191,2.0721,2.6774,0.3962
1,Line,0.1120,,,,,,,,,,,,,,13,0.0000,-0.0062,-0.0400,2.0785,2.6552,0.3173,2.0785,2.6695,0.4101
1,Line,0.1266,,,,,,,,,,,,,,77,-0.0027,0.0011,-0.0530,2.0721,2.6774,0.3962,2.0785,2.6748,0.5191
1,Line,0.0464,,,,,,,,,,,,,,50,0.0027,-0.0037,0.0000,2.0785,2.6748,0.5191,2.0721,2.6833,0.5191
1,Line,0.1250,,,,,,,,,,,,,,155,-0.0027,-0.0037,-0.0500,2.0721,2.6610,0.2941,2.0785,2.6695,0.4101
1,Line,0.1126,,,,,,,,,,,,,,13,0.0000,-0.0094,-0.0260,2.0785,2.6335,0.2570,2.0785,2.6552,0.3173
1,Line,0.1264,,,,,,,,,,,,,,174,-0.0027,-0.0080,-0.0400,2.0721,2.6366,0.2245,2.0785,2.6552,0.3173
1,Line,0.0467,,,,,,,,,,,,,,52,0.0027,-0.0034,0.0060,2.0785,2.6695,0.4101,2.0721,2.6774,0.3962
1,Line,0.1249,,,,,,,,,,,,,,13,0.0000,0.0071,0.0440,2.0721,2.6774,0.3962,2.0721,2.6610,0.2941
1,Line,0.0456,,,,,,,,,,,,,,61,0.0027,-0.0025,-0.0110,2.0785,2.6552,0.7186,2.0721,2.6610,0.7441
1,Line,0.1268,,,,,,,,,,,,,,13,0.0000,-0.0071,0.0450,2.0721,2.6610,0.7441,2.0721,2.6774,0.6397
1,Line,0.1120,,,,,,,,,,,,,,13,0.0000,0.0062,-0.0400,2.0785,2.6695,0.6258,2.0785,2.6552,0.7186
1,Line,0.1284,,,,,,,,,,,,,,29,-0.0027,0.0096,-0.0340,2.0721,2.6774,0.6397,2.0785,2.6552,0.7186
1,Line,0.1092,,,,,,,,,,,,,,13,0.0000,0.0023,-0.0460,2.0785,2.6748,0.5191,2.0785,2.6695,0.6258
1,Line,0.1233,,,,,,,,,,,,,,13,0.0000,-0.0025,0.0520,2.0721,2.6774,0.6397,2.0721,2.6833,0.5191
1,Line,0.1115,,,,,,,,,,,,,,13,0.0000,-0.0023,-0.0470,2.0785,2.6695,0.4101,2.0785,2.6748,0.5191
1,Line,0.1257,,,,,,,,,,,,,,37,-0.0027,0.0059,-0.0460,2.0721,2.6833,0.5191,2.0785,2.6695,0.6258
1,Line,0.0467,,,,,,,,,,,,,,52,0.0027,-0.0034,-0.0060,2.0785,2.6695,0.6258,2.0721,2.6774,0.6397
