Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Circle,,,,,,,0.1223,-1.0087,14.4005,1.7043,,0.1973,,,1.2398,0.3946,,,,,,,,,,
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.8438,-1.0087,14.4005,1.8438
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.8751,-1.0087,14.4005,1.8751
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.8948,-1.0087,14.4005,1.8948
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.2422,-1.0087,14.4005,3.2422
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.9600,-1.0087,14.4005,2.9600
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.5922,-1.0087,14.4005,2.5922
1,Circle,,,,,,,0.2496,-1.0087,14.4005,1.7043,,0.2819,,,1.7711,0.5638,,,,,,,,,,
1,Circle,,,,,,,9.9074,-1.0087,14.4005,1.7043,,1.7758,,,11.1580,3.5517,,,,,,,,,,
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.4196,-1.0087,14.4005,3.4196
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.8029,-1.0087,14.4005,1.8029
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5137,-1.0087,14.4005,1.5137
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5069,-1.0087,14.4005,1.5069
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5137,-1.0087,14.4005,1.5137
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.6056,-1.0087,14.4005,1.6056
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5647,-1.0087,14.4005,1.5647
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5334,-1.0087,14.4005,1.5334
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.6532,-1.0087,14.4005,1.6532
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.7043,-1.0087,14.4005,1.7043
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.7553,-1.0087,14.4005,1.7553
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5334,-1.0087,14.4005,1.5334
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.5647,-1.0087,14.4005,1.5647
1,Line,,,,,,,,,,,0.0116,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.6056,-1.0087,14.4005,1.6056
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.1639,-1.0087,14.4005,2.1639
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.2422,-1.0087,14.4005,3.2422
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.4196,-1.0087,14.4005,3.4196
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.4801,-1.0087,14.4005,3.4801
1,Line,,,,,,,,,,,1.4094,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.1639,-1.0087,14.4005,2.1639
