,,,,117,0,0,0.0002,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,
1,Line,,,,,,,1,0,0,0.0003,1.0169,-0.2324,0.3296,0.0177,1.0169,-0.2324,0.3193
1,Line,,,,,,,179,0,0,-0.0001,1.0169,-0.2324,0.3261,0.011,1.0169,-0.2324,0.3296
1,Line,,,,,,,179,0,0,0.0001,1.0169,-0.2324,0.2724,0.0079,1.0169,-0.2324,0.2665
1,Line,,,,,,,118,0,0,0.0003,1.0169,-0.2324,0.2834,0.011,1.0169,-0.2324,0.2724
1,Line,,,,,,,179,0,0,0.0003,1.0169,-0.2324,0.3296,0.0177,1.0169,-0.2324,0.3193
1,Line,,,,,,,1,0,0,0,1.0169,-0.2324,0.3276,0.0079,1.0169,-0.2324,0.3296
1,Line,,,,,,,170,0,0,0.0002,1.0169,-0.2324,0.3799,0.0079,1.0169,-0.2324,0.3721
1,Line,,,,,,,1,0,0,0.0001,1.0169,-0.2324,0.3631,0.0079,1.0169,-0.2324,0.3602
1,Line,,,,,,,178,0,0,-0.0003,1.0169,-0.2324,0.3789,0.0177,1.0169,-0.2324,0.3894
1,Line,,,,,,,2,0,0,0.0002,1.0169,-0.2324,0.3721,0.011,1.0169,-0.2324,0.3631
1,Line,,,,,,,2,0,0,0.0002,1.0169,-0.2324,0.3261,0.0079,1.0169,-0.2324,0.3193
1,Line,,,,,,,1,0,0,0.0001,1.0169,-0.2324,0.3296,0.011,1.0169,-0.2324,0.3261
1,Line,,,,,,,4,0,0,-0.0004,1.0169,-0.2324,0.3631,0.0177,1.0169,-0.2324,0.3799
1,Line,,,,,,,180,0,0,0.0009,1.0169,-0.2324,0.5791,0.0813,1.0169,-0.2324,0.5421
1,Line,,,,,,,95,0,0,-0.0011,1.0169,-0.2324,0.3985,0.0565,1.0169,-0.2324,0.4441
1,Line,,,,,,,115,0,0,-0.0004,1.0169,-0.2324,0.4298,0.0395,1.0169,-0.2324,0.4441
1,Line,,,,,,,0,0,0,-0.0008,1.0169,-0.2324,0.3985,0.0339,1.0169,-0.2324,0.4298
1,Line,,,,,,,178,0,0,0.0022,1.0169,-0.2324,0.4441,0.0919,1.0169,-0.2324,0.3562
1,Line,,,,,,,122,0,0,0.0002,1.0169,-0.2324,0.3656,0.0415,1.0169,-0.2324,0.3562
1,Line,,,,,,,131,0,0,0.001,1.0169,-0.2324,0.3985,0.0619,1.0169,-0.2324,0.3562
1,Line,,,,,,,0,0,0,-0.0008,1.0169,-0.2324,0.3656,0.0339,1.0169,-0.2324,0.3985
1,Line,,,,,,,149,0,0,0.001,1.0169,-0.2324,0.4844,0.0762,1.0169,-0.2324,0.4441
1,Line,,,,,,,0,0,0,-0.0005,1.0169,-0.2324,0.4844,0.0339,1.0169,-0.2324,0.5065
1,Line,,,,,,,180,0,0,0.001,1.0169,-0.2324,0.5413,0.0698,1.0169,-0.2324,0.5003
1,Line,,,,,,,62,0,0,-0.0009,1.0169,-0.2324,0.5065,0.0517,1.0169,-0.2324,0.5413
1,Line,,,,,,,139,0,0,0.0002,1.0169,-0.2324,0.5065,0.0517,1.0169,-0.2324,0.5003
1,Line,,,,,,,0,0,0,-0.0013,1.0169,-0.2324,0.4298,0.0675,1.0169,-0.2324,0.4844
1,Line,,,,,,,1,0,0,0.0014,1.0169,-0.2324,0.5003,0.0704,1.0169,-0.2324,0.4441
1,Line,,,,,,,111,0,0,-0.0004,1.0169,-0.2324,0.4844,0.0396,1.0169,-0.2324,0.5003
1,Line,,,,,,,170,0,0,0.0016,1.0169,-0.2324,0.3562,0.0634,1.0169,-0.2324,0.2928
1,Line,,,,,,,129,0,0,0.0007,1.0169,-0.2324,0.2928,0.0517,1.0169,-0.2324,0.2651
1,Line,,,,,,,0,0,0,0.0016,1.0169,-0.2324,0.2928,0.0698,1.0169,-0.2324,0.2265
1,Line,,,,,,,100,0,0,-0.0009,1.0169,-0.2324,0.2265,0.0517,1.0169,-0.2324,0.2651
1,Line,,,,,,,180,0,0,-0.0008,1.0169,-0.2324,0.2651,0.0339,1.0169,-0.2324,0.2981
1,Line,,,,,,,120,0,0,0.0018,1.0169,-0.2324,0.3656,0.0826,1.0169,-0.2324,0.2928
1,Line,,,,,,,0,0,0,-0.0017,1.0169,-0.2324,0.2981,0.0675,1.0169,-0.2324,0.3656
1,Line,,,,,,,120,0,0,-0.0001,1.0169,-0.2324,0.2928,0.0395,1.0169,-0.2324,0.2981
1,Line,,,,,,,119,0,0,-0.0002,1.0169,-0.2324,0.2265,0.0395,1.0169,-0.2324,0.2338
1,Line,,,,,,,119,0,0,-0.0003,1.0169,-0.2324,0.1687,0.0395,1.0169,-0.2324,0.1792
1,Line,,,,,,,180,0,0,-0.0005,1.0169,-0.2324,0.1572,0.0339,1.0169,-0.2324,0.1792
1,Line,,,,,,,143,0,0,0.0003,1.0169,-0.2324,0.1687,0.0565,1.0169,-0.2324,0.1572
1,Line,,,,,,,0,0,0,-0.0013,1.0169,-0.2324,0.1792,0.0675,1.0169,-0.2324,0.2338
1,Line,,,,,,,180,0,0,-0.0008,1.0169,-0.2324,0.2338,0.0339,1.0169,-0.2324,0.2651
1,Line,,,,,,,57,0,0,-0.0016,1.0169,-0.2324,0.1687,0.0762,1.0169,-0.2324,0.2338
