Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,175,-0.1498,0.0142,-0.1339,1.0690,2.2526,0.4193,0.2014,1.2188,2.2384,0.5532
1,Line,,,,,,,,,,,,,,90,0.0000,0.0142,0.1998,1.0690,2.2526,0.4193,0.2003,1.0690,2.2384,0.2196
1,Line,,,,,,,,,,,,,,90,0.0000,-0.0142,0.1998,1.0690,2.2384,0.6191,0.2003,1.0690,2.2526,0.4193
1,Line,,,,,,,,,,,,,,6,0.1339,0.0142,-0.1498,1.0690,2.2526,0.4193,0.2014,0.9351,2.2384,0.5691
1,Line,,,,,,,,,,,,,,9,0.0906,0.0142,-0.1793,1.0690,2.2526,0.4193,0.2014,0.9784,2.2384,0.5987
1,Line,,,,,,,,,,,,,,19,0.0411,0.0142,-0.1967,1.0690,2.2526,0.4193,0.2014,1.0279,2.2384,0.6160
1,Line,,,,,,,,,,,,,,176,0.1998,-0.0142,0.0000,1.2687,2.2384,0.4193,0.2003,1.0690,2.2526,0.4193
1,Line,,,,,,,,,,,,,,152,0.0184,-0.0100,0.0282,0.9199,2.2384,0.1916,0.0351,0.9015,2.2484,0.1635
1,Line,,,,,,,,,,,,,,17,-0.0329,-0.0100,-0.0069,1.3354,2.2384,0.4750,0.0351,1.3683,2.2484,0.4818
1,Line,,,,,,,,,,,,,,24,-0.0224,-0.0100,0.0251,1.2504,2.2384,0.2164,0.0351,1.2728,2.2484,0.1914
1,Line,,,,,,,,,,,,,,44,0.0207,0.0200,0.0043,0.6785,2.2384,0.3378,0.0291,0.6579,2.2184,0.3335
1,Line,,,,,,,,,,,,,,4,0.1998,0.0142,0.0000,1.0690,2.2526,0.4193,0.2003,0.8692,2.2384,0.4193
1,Line,,,,,,,,,,,,,,5,0.1793,0.0142,0.0906,1.0690,2.2526,0.4193,0.2014,0.8896,2.2384,0.3288
1,Line,,,,,,,,,,,,,,171,-0.0906,0.0142,0.1793,1.0690,2.2526,0.4193,0.2014,1.1596,2.2384,0.2400
1,Line,,,,,,,,,,,,,,161,-0.0411,0.0142,0.1967,1.0690,2.2526,0.4193,0.2014,1.1101,2.2384,0.2227
1,Line,,,,,,,,,,,,,,72,0.0066,0.0200,0.0200,0.9444,2.2384,0.0404,0.0291,0.9378,2.2184,0.0204
1,Line,,,,,,,,,,,,,,173,-0.1100,0.0142,-0.1681,1.0690,2.2526,0.4193,0.2014,1.1790,2.2384,0.5875
1,Line,,,,,,,,,,,,,,52,0.0157,0.0200,0.0141,0.7716,2.2384,0.1535,0.0291,0.7559,2.2184,0.1394
1,Line,,,,,,,,,,,,,,174,-0.1339,0.0142,0.1498,1.0690,2.2526,0.4193,0.2014,1.2029,2.2384,0.2696
1,Line,,,,,,,,,,,,,,60,0.0116,0.0200,0.0177,0.8505,2.2384,0.0856,0.0291,0.8390,2.2184,0.0679
1,Line,,,,,,,,,,,,,,44,0.0211,0.0200,-0.0012,0.6707,2.2384,0.4416,0.0291,0.6496,2.2184,0.4428
1,Line,,,,,,,,,,,,,,5,0.1681,0.0142,-0.1100,1.0690,2.2526,0.4193,0.2014,0.9009,2.2384,0.5294
1,Line,,,,,,,,,,,,,,175,-0.1793,0.0142,-0.0906,1.0690,2.2526,0.4193,0.2014,1.2483,2.2384,0.5099
1,Line,,,,,,,,,,,,,,4,0.2006,0.0142,-0.0112,1.0690,2.2526,0.4193,0.2014,0.8684,2.2384,0.4306
1,Line,,,,,,,,,,,,,,4,0.1909,0.0142,-0.0628,1.0690,2.2526,0.4193,0.2014,0.8781,2.2384,0.4821
1,Line,,,,,,,,,,,,,,47,0.0188,0.0200,0.0095,0.7129,2.2384,0.2395,0.0291,0.6941,2.2184,0.2300
1,Line,,,,,,,,,,,,,,44,-0.0211,-0.0200,0.0012,5.2173,0.0176,0.3970,0.0291,5.2383,0.0376,0.3959
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.1397,0.0826,0.4014,0.2300,5.1397,0.3126,0.4014
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.1241,0.0826,0.3190,0.2300,5.1241,0.3126,0.3190
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.0878,0.0826,0.2434,0.2300,5.0878,0.3126,0.2434
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.0585,0.0826,0.6334,0.2300,5.0585,0.3126,0.6334
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.1057,0.0826,0.5642,0.2300,5.1057,0.3126,0.5642
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.1334,0.0826,0.4850,0.2300,5.1334,0.3126,0.4850
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,5.0331,0.0826,0.1799,0.2300,5.0331,0.3126,0.1799
1,Line,,,,,,,,,,,,,,0,0.0512,0.0000,-0.0168,5.1607,0.0076,0.3070,0.0539,5.1095,0.0076,0.3238
