Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.1015,,,,,,,,,,,,,,,,90,0.0000,3.5623,-7.3804,1.5562,4.7337,0.9011,1.5562,4.6896,0.9925,,,
1,Line,0.0848,,,,,,,,,,,,,,,,133,4.7143,-4.9697,0.0000,1.7071,4.5776,0.9925,1.6487,4.6392,0.9925,,,
1,Line,0.0848,,,,,,,,,,,,,,,,133,4.7143,-4.9697,0.0000,1.7071,4.6217,0.9011,1.6487,4.6833,0.9011,,,
1,Line,0.1015,,,,,,,,,,,,,,,,90,0.0000,3.5623,-7.3804,1.6487,4.6833,0.9011,1.6487,4.6392,0.9925,,,
1,Line,0.0848,,,,,,,,,,,,,,,,133,-4.7143,4.9697,0.0000,1.6487,4.7175,0.7755,1.7071,4.6559,0.7755,,,
1,Line,0.1301,,,,,,,,,,,,,,,,90,0.0000,2.7626,-10.1412,1.6487,4.7175,0.7755,1.6487,4.6833,0.9011,,,
1,Line,0.1301,,,,,,,,,,,,,,,,90,0.0000,2.7626,-10.1412,1.7071,4.6559,0.7755,1.7071,4.6217,0.9011,,,
1,Line,0.0527,,,,,,,,,,,,,,,,151,3.7354,-2.0390,0.0000,1.6025,4.6644,0.9925,1.5562,4.6896,0.9925,,,
1,Line,0.1015,,,,,,,,,,,,,,,,90,0.0000,3.5623,-7.3804,1.6025,4.7085,0.9011,1.6025,4.6644,0.9925,,,
1,Line,0.0527,,,,,,,,,,,,,,,,151,3.7354,-2.0390,0.0000,1.6025,4.7085,0.9011,1.5562,4.7337,0.9011,,,
1,Line,0.2887,,,,,,,,,,,,,,,,0,23.3225,0.0000,0.0000,1.1941,4.8057,0.7343,0.9054,4.8057,0.7343,,,
1,Line,0.0461,,,,,,,,,,,,,,,,180,-3.7264,0.0000,0.0000,0.9054,4.8130,0.7961,0.9515,4.8130,0.7961,,,
1,Line,0.0176,,,,,,,,,,,,,,,,70,-0.4760,-1.3400,0.0000,1.1941,4.8057,0.7343,1.2000,4.8223,0.7343,,,
