Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.8413,,,,0,0.8413,0.0000,0.0000,13.1555,-2.8901,2.7014,12.3142,-2.8901,2.7014
1,Line,,,,,0.0864,,,,0,0.0864,0.0000,0.0000,12.3312,-2.3355,2.7187,12.2448,-2.3355,2.7187
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.7673,2.7142,13.1555,-2.7673,2.7142
1,Line,,,,,0.7590,,,,0,0.7590,0.0000,0.0000,13.0935,-2.5824,2.7238,12.3345,-2.5824,2.7238
1,Line,,,,,0.1060,,,,0,0.1060,0.0000,0.0000,13.4545,-2.6441,2.7219,13.3485,-2.6441,2.7219
1,Line,,,,,0.0702,,,,0,0.0702,0.0000,0.0000,11.4739,-2.7057,2.7187,11.4037,-2.7057,2.7187
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.7673,2.7142,13.1195,-2.7673,2.7142
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.5206,2.7244,13.1555,-2.5206,2.7244
1,Line,,,,,0.1060,,,,0,0.1060,0.0000,0.0000,13.4545,-2.1511,2.7014,13.3485,-2.1511,2.7014
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.2125,2.7085,13.1555,-2.2125,2.7085
1,Line,,,,,0.1700,,,,0,0.1700,0.0000,0.0000,14.3905,-3.3422,0.1384,14.2205,-3.3422,0.1384
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.7673,2.7142,13.0935,-2.7673,2.7142
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.8288,2.7085,13.0935,-2.8288,2.7085
1,Line,,,,,0.8144,,,,0,0.8144,0.0000,0.0000,12.2573,-2.8901,2.7014,11.4429,-2.8901,2.7014
1,Line,,,,,0.0934,,,,0,0.0934,0.0000,0.0000,12.3345,-2.5824,2.7238,12.2411,-2.5824,2.7238
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.6441,2.7219,13.1555,-2.6441,2.7219
